id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,local_file
676768,Chaetura,pelagica,Chimney Swift,39.1196,-84.5989,flight call,2021-09-25,07:55,0:06,B,"Seven birds flying directly overhead, four in tight fighter jet formation. Approaching dusk.",uncertain,uncertain,Turdus migratorius,Chaetura_pelagica_Green_Township_near__Cincinnati_Hamilton_County_Ohio_676768.mp3,Original Recordings\Chaetura_pelagica_Green_Township_near__Cincinnati_Hamilton_County_Ohio_676768.mp3
17058,Chaetura,pelagica,Chimney Swift,41.93338,-83.54994,flight call,2007-06-25,?,0:07,C,,,,Turdus migratorius,Chaetura_pelagica_Michigan_Monroe_County_17058.mp3,Original Recordings\Chaetura_pelagica_Michigan_Monroe_County_17058.mp3
262809,Coccyzus,americanus,Yellow-billed Cuckoo,41.629,-83.194,song,2015-07-19,12:00,1:09,C,Flushed from low shrub.  Had caterpillar in its mouth.  Sang softly while I passed by.,,,,Coccyzus_americanus_Magee_Marsh_boardwalk_west_end_262809.mp3,Original Recordings\Coccyzus_americanus_Magee_Marsh_boardwalk_west_end_262809.mp3
910739,Coccyzus,erythropthalmus,Black-billed Cuckoo,41.9628,-82.5184,call,2023-08-15,12:59,0:07,B,,uncertain,uncertain,Troglodytes aedon,Coccyzus_erythropthalmus_Point_Pelee_National_Park_Essex_County_Ontario_910739.mp3,Original Recordings\Coccyzus_erythropthalmus_Point_Pelee_National_Park_Essex_County_Ontario_910739.mp3
376138,Coccyzus,erythropthalmus,Black-billed Cuckoo,40.9133,-81.4785,song,2017-06-19,07:00,0:09,D,,,,"Cardinalis cardinalis, Melospiza georgiana",Coccyzus_erythropthalmus_Thursby_Rd_near_Singer_Lake_Green_Summit_County_Ohio_376138.mp3,Original Recordings\Coccyzus_erythropthalmus_Thursby_Rd_near_Singer_Lake_Green_Summit_County_Ohio_376138.mp3
476933,Zenaida,macroura,Mourning Dove,41.9296,-82.5092,wings,2019-05-17,16:30,0:09,A,,,,,Zenaida_macroura_Pelee_near__Leamington_Essex_County_Ontario_476933.mp3,Original Recordings\Zenaida_macroura_Pelee_near__Leamington_Essex_County_Ontario_476933.mp3
417850,Rallus,elegans,King Rail,39.919,-83.2065,alarm call,2018-05-06,08:20,0:02,A,Natural vocalization from wet grassy field on windy morning. Revised ID from Virginia to King after comments.,,,,Rallus_elegans_Battelle_Darby_Metro_Park_-_Wetlands_417850.mp3,Original Recordings\Rallus_elegans_Battelle_Darby_Metro_Park_-_Wetlands_417850.mp3
103499,Rallus,elegans,King Rail,40.125,-83.183,call,2011-06-03,12:30pm,0:10,B,"I first found the bird on 3 June after hearing it call in the evening just west of the Honda Wetlands Education Area parking lot.  This recording was made on 4 June 2011 at 12:30pm. No playback was used.  The recording was made using a Sennheiser ME67 shotgun mic and a Sony Hi-MD recorder, model MZ-RH910.  This clip was copied from the original recording using Raven Lite. WAV available for download at http://soundcloud.com/paul-j-hurtado/king-rail-4-june-2011-glacier  eBird Checklist: http://ebird.org/ebird/view/checklist?subID=S8358706",,,,Rallus_elegans_Glacier_Ridge_Metro_Park--Honda_Wetlands_103499.mp3,Original Recordings\Rallus_elegans_Glacier_Ridge_Metro_Park--Honda_Wetlands_103499.mp3
807518,Porzana,carolina,Sora,39.2976,-84.6927,song,2023-05-09,09:32,0:07,A,"Bird called once while I was recording Warbling Vireo. Small pond with marsh vegetation, edged with willow trees and surrounded by medium tall grass field.",uncertain,adult,"Melospiza melodia, Turdus migratorius, Vireo gilvus",Porzana_carolina_Ross_Township_near__Ross_Butler_County_Ohio_807518.mp3,Original Recordings\Porzana_carolina_Ross_Township_near__Ross_Butler_County_Ohio_807518.mp3
417847,Porzana,carolina,Sora,39.919,-83.2065,call,2018-05-06,08:15,0:06,A,Natural vocalization from wet grassy field on windy morning.,,,,Porzana_carolina_Battelle_Darby_Metro_Park_-_Wetlands_417847.mp3,Original Recordings\Porzana_carolina_Battelle_Darby_Metro_Park_-_Wetlands_417847.mp3
